TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,t_rxn,t_iso,t_100,t_pseudo,F_X,Ro,logRo,P,logP,H,logH,Acetyl,Yield
140,423.15,4,0,5,90,50,2.5,90,20,70,80,17.6,2669.483211,7.889640179,178.8487322,5.186540377,248.9660887,5.517316697,2.128411429,28.18181818
112.3583633,448.15,6,0,5,88.92086331,23.4375,6.4,88.92086331,11.71875,77.20211331,39.0625,15.02,14364.17532,9.572492561,1294.575624,7.165938217,2059.044102,7.629997126,4.269325153,52.61352052
60,463.15,6,0,0.42,60,0,0,60,0,60,0,24.88636364,26796.84612,10.19603948,2602.47131,7.864216776,4453.023841,8.401338659,2.128411429,6.976499699
61.875,433.15,8,0,8,45,16.875,8,45,7.5,37.5,27.5,18.86363636,2629.263637,7.8744591,203.8864505,5.317563224,299.9149132,5.703498812,2.128411429,6.44626506
19.9642353,463.15,6,0,0.42,19.9642353,0,0,19.9642353,0,19.9642353,0,24.88636364,8916.30902,9.095637353,865.9391599,6.763814652,1481.686929,7.300936535,2.128411429,1.190841244
199.798786,433.15,6,0,5,178.705036,21.09375,6.4,178.705036,9.375,169.330036,34.375,15.02,10441.39228,9.253533213,809.678566,6.696637337,1191.029008,7.082572925,4.269325153,71.25768211
43.75,448.15,6,0,8,25,18.75,8,25,9.375,15.625,31.25,18.86363636,4038.47162,8.303621588,363.9684703,5.897067244,578.8979169,6.361126153,2.128411429,14.72674699
150,413.15,8,0,4,120,30,3.833333333,120,10.43478261,109.5652174,46.95652174,11.932,1806.87868,7.49935615,100.4997793,4.610155531,132.0396693,4.883102403,2.128411429,17.02983574
360,433.15,4.76,0,5,182.8125,177.1875,0.761904762,182.8125,78.74999999,104.0625,288.75,21.59,10681.38352,9.276257648,828.2887051,6.719361771,1218.404335,7.105297359,3.695454545,22.57074359
60,413.15,4,0,4,30,30,2,30,20,10,90,19.48,451.7196701,6.113061788,25.12494481,3.22386117,33.00991733,3.496808042,4.041182796,1.96938585
45,473.15,2.5,0,1,30,15,11.66666667,30,8.571428569,21.42857143,25.71428571,23.86363636,26393.11339,10.1808584,2592.5635,7.860402434,4645.523418,8.443659329,4.041182796,6.243809524
300,423.15,3.7,0,2,293,7,16.1,293,3.105590062,289.8944099,12.42236025,15.48,8690.650899,9.070003117,582.2519836,6.366903316,810.5229333,6.697679636,3.439166667,10.69767442
59.87793727,463.15,6,0,0.42,59.87793727,0,0,59.87793727,0,59.87793727,0,24.88636364,26742.33118,10.19400303,2597.176897,7.862180325,4443.964703,8.399302208,2.128411429,53.14980903
48.7311828,433.15,6,0,5,44.7311828,4,33.75,44.7311828,1.777777778,42.95340502,6.518518519,15.1,2613.557163,7.86846747,202.6684908,5.311571594,298.1233068,5.697507182,4.269325153,23.80894601
90,443.15,5,0,3,60,30,4.833333333,60,14.48275862,45.51724138,49.65517242,16.93181818,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,2.128411429,67.91946309
120,423.15,4,0,10.35,60,60,2.083333333,60,24,36,96.00000002,20.47,1779.655474,7.484175071,119.2324881,4.781075269,165.9773925,5.111851589,3.439166667,4.787493894
120,483.15,4,0,10.35,60,60,3.083333333,60,35.67567568,24.32432432,103.7837838,20.47,103981.8539,11.55197168,10040.15178,9.214347511,18804.08965,9.84182966,3.439166667,0.244259893
10.26791523,493.15,40,0,5,10.26791523,0,0,10.26791523,0,10.26791523,0,23.78409091,35053.02619,10.46461723,3239.019017,8.08302579,6329.266361,8.75293961,3.508,29.38753284
93,453.15,5.666666667,0,2,78,15,2.666666667,78,30,48,97.49999999,19.31818182,17684.39056,9.78043764,1647.186823,7.406824156,2685.909907,7.895774835,3.439166667,55.23698356
50,463.15,15,0,0.177,40,10,16.5,40,5.454545455,34.54545455,16.96969697,12.16,17864.56408,9.790574369,1734.980873,7.458751668,2968.682561,7.995873551,2.128411429,57.64802632
